City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,286.38,96,93,2.24,NZ,1690155391
1,port-aux-francais,-49.35,70.2167,278.63,94,83,15.85,TF,1690155107
2,adamstown,-25.066,-130.1015,293.62,69,35,7.63,PN,1690155107
3,loiza,18.4313,-65.8802,303.15,73,40,5.14,PR,1690155391
4,san pedro pochutla,15.7333,-96.4667,295.99,70,95,1.82,MX,1690155392
5,kalyandurg,14.5452,77.1055,296.02,81,100,9.61,IN,1690155392
6,bredasdorp,-34.5322,20.0403,282.98,72,59,2.67,ZA,1690155392
7,paulden,34.8856,-112.4682,298.25,71,60,9.83,US,1690155392
8,atafu village,-8.5421,-172.5159,302.0,75,11,6.66,TK,1690155392
9,aasiaat,68.7098,-52.8699,276.7,97,100,0.57,GL,1690155393
10,albany,42.6001,-73.9662,299.39,65,67,0.88,US,1690155197
11,prince george,53.9166,-122.753,293.85,54,20,1.54,CA,1690155393
12,hamilton,39.1834,-84.5333,300.84,48,20,3.09,US,1690155359
13,puerto natales,-51.7236,-72.4875,269.49,92,8,1.61,CL,1690155118
14,hammerfest,70.6634,23.6821,282.4,81,20,4.63,NO,1690155393
15,la'ie,21.6477,-157.9253,304.13,72,7,6.26,US,1690155172
16,isafjordur,66.0755,-23.124,284.0,89,100,1.79,IS,1690155225
17,iqaluit,63.7506,-68.5145,282.0,70,20,2.57,CA,1690155393
18,haiku-pauwela,20.9219,-156.3051,303.16,66,20,10.8,US,1690155181
19,mount gambier,-37.8333,140.7667,285.35,84,100,1.19,AU,1690155394
20,college,64.8569,-147.8028,302.14,44,40,2.57,US,1690155245
21,turpan,42.9333,89.1667,309.0,17,100,2.48,CN,1690155394
22,cockburn town,21.4612,-71.1419,303.13,66,20,4.12,TC,1690155394
23,ushuaia,-54.8,-68.3,272.96,80,20,3.6,AR,1690155394
24,port isabel,26.0734,-97.2086,308.17,69,0,6.69,US,1690155139
25,edinburgh of the seven seas,-37.0676,-12.3116,286.62,81,52,11.16,SH,1690155394
26,qaqortoq,60.7167,-46.0333,279.27,95,66,1.7,GL,1690155394
27,tullahoma,35.362,-86.2094,301.96,55,0,2.06,US,1690155394
28,gharyan,32.1722,13.0203,303.28,15,0,4.18,LY,1690155394
29,humberto de campos,-2.5983,-43.4611,297.56,85,62,1.79,BR,1690155395
30,grytviken,-54.2811,-36.5092,266.97,77,29,3.87,GS,1690155395
31,choix,26.7092,-108.3219,310.2,40,50,3.48,MX,1690155395
32,sisimiut,66.9395,-53.6735,279.45,89,94,0.54,GL,1690155201
33,pretoria,-25.7449,28.1878,286.99,77,98,0.0,ZA,1690155322
34,port alfred,-33.5906,26.891,284.36,82,89,2.68,ZA,1690155395
35,la passe,45.5549,-0.8967,293.7,89,100,4.21,FR,1690155237
36,bafra,41.5678,35.9069,295.62,69,5,2.08,TR,1690155395
37,gao,16.6362,1.637,307.34,38,52,4.13,ML,1690155395
38,naze,28.3667,129.4833,300.66,75,47,1.98,JP,1690155395
39,salalah,17.0151,54.0924,298.2,100,100,2.57,OM,1690155395
40,yellowknife,62.456,-114.3525,294.44,43,100,5.14,CA,1690155396
41,mil'kovo,55.6078,37.7956,287.23,91,59,3.22,RU,1690155396
42,lebu,-37.6167,-73.65,281.64,85,83,1.58,CL,1690155396
43,saipan,15.1355,145.701,302.54,100,40,4.63,MP,1690155396
44,tura,25.5198,90.2201,297.11,97,99,1.98,IN,1690155125
45,labrador city,52.9463,-66.9114,294.1,73,75,1.54,CA,1690155396
46,mana,5.6592,-53.7767,299.05,85,12,3.37,GF,1690155396
47,claveria,18.6074,121.0832,301.15,80,100,5.71,PH,1690155396
48,ust-nera,64.5667,143.2,291.46,51,37,0.34,RU,1690155396
49,new norfolk,-42.7826,147.0587,285.88,69,97,2.91,AU,1690155233
50,margaret river,-33.95,115.0667,287.15,69,0,7.57,AU,1690155397
51,hell-ville,-13.4,48.2667,298.16,69,64,2.9,MG,1690155397
52,kailua-kona,19.6406,-155.9956,303.13,84,40,5.14,US,1690155234
53,mariental,-24.6333,17.9667,286.72,11,62,3.09,NA,1690155397
54,levuka,50.1834,-105.4011,302.99,27,37,3.59,CA,1690155397
55,ta`u,-14.2336,-169.5144,299.93,72,14,6.29,AS,1690155397
56,reggane,26.7158,0.1714,310.67,16,48,1.03,DZ,1690155397
57,bilibino,68.0546,166.4372,291.23,62,85,1.03,RU,1690155397
58,avarua,-21.2078,-159.775,300.18,89,8,6.17,CK,1690155310
59,tazovsky,67.4667,78.7,288.34,88,75,1.92,RU,1690155141
60,tiksi,71.6872,128.8694,282.62,58,4,1.64,RU,1690155397
61,at taj,24.2049,23.2857,302.98,20,6,4.09,LY,1690155397
62,nishinoomote,30.7333,131.0,300.46,100,40,3.09,JP,1690155179
63,new plymouth,-39.0667,174.0833,284.44,79,89,1.45,NZ,1690155304
64,ulladulla,-35.35,150.4667,286.36,64,16,1.33,AU,1690155398
65,stanley,54.868,-1.6985,284.97,94,20,4.12,GB,1690155398
66,neiafu,-18.65,-173.9833,299.53,65,20,3.6,TO,1690155175
67,withernsea,53.7311,0.0335,287.29,91,100,8.74,GB,1690155398
68,srikakulam,18.3,83.9,299.65,88,88,1.13,IN,1690155398
69,katsuren-haebaru,26.3369,127.8719,304.16,78,40,5.14,JP,1690155398
70,ilulissat,69.2167,-51.1,281.16,87,100,2.57,GL,1690155398
71,vanino,49.0869,140.2543,294.21,77,98,2.05,RU,1690155398
72,sao mateus do maranhao,-4.0417,-44.475,298.74,51,65,0.57,BR,1690155399
73,praia,14.9215,-23.5087,299.45,78,40,4.63,CV,1690155399
74,queenstown,-31.8976,26.8753,278.94,83,59,1.19,ZA,1690155210
75,utrik,11.2278,169.8474,301.62,79,61,8.27,MH,1690155188
76,santa branca,-23.3967,-45.8839,291.97,68,20,3.6,BR,1690155399
77,olonkinbyen,70.9221,-8.7187,277.89,91,99,5.35,SJ,1690155149
78,rosario del tala,-32.3029,-59.1455,287.79,53,89,5.18,AR,1690155399
79,weno,7.4515,151.8468,302.12,79,100,2.57,FM,1690155399
80,port lincoln,-34.7333,135.8667,286.06,75,100,1.34,AU,1690155118
81,mangalia,43.8,28.5833,294.3,73,0,1.86,RO,1690155399
82,medenine,33.355,10.5055,305.81,18,0,4.01,TN,1690155399
83,nechi,8.0942,-74.7757,301.2,80,77,0.9,CO,1690155113
84,dazhong,33.1997,120.4578,300.98,87,0,2.1,CN,1690155400
85,conceicao do almeida,-12.7794,-39.17,291.68,98,8,1.93,BR,1690155400
86,chibougamau,49.9168,-74.3659,297.94,36,20,1.73,CA,1690155121
87,igrim,63.1906,64.4162,289.05,91,99,0.58,RU,1690155400
88,blackmans bay,-43.0167,147.3167,285.22,73,86,2.34,AU,1690155115
89,afaahiti,-17.75,-149.2833,301.08,77,57,4.63,PF,1690155400
90,remire-montjoly,4.9167,-52.2667,298.17,94,0,1.03,GF,1690155400
91,tolanaro,-25.0319,46.9987,294.19,78,20,5.14,MG,1690155400
92,ghormach,35.7306,63.7826,298.9,22,1,1.14,AF,1690155400
